stop_id,stop_name,lat,lon,sequences
651,Broadview Ave at Chester Hill Rd,43.681397,-79.357724,100:36|322:41|62:24|8:35|87:30
652,Broadview Ave at Cosburn Ave North Side,43.688765,-79.355049,25:6|925:2
653,Broadview Ave at Cosburn Ave South Side,43.688182,-79.355485,100:33|322:38|8:32|87:27
655,Broadview Ave at Browning Ave,43.680882,-79.357665,25:3
656,Broadview Ave at Hillside Dr,43.686476,-79.356194,100:34|322:39|8:33|87:28
657,Broadview Ave at Mortimer Ave North Side,43.684347,-79.356745,25:4
659,Broadview Ave at Pottery Rd South Side,43.683554,-79.357145,100:35|322:40|62:23|8:34|87:29
660,Broadview Ave at Pretoria Ave,43.678521,-79.358476,100:38|322:43|62:26|8:37|87:32
665,Burnhamthorpe Rd at Appleby Rd,43.649317,-79.547202,50:11
671,Burnhamthorpe Rd at Burnhamthorpe Cres,43.649493,-79.530732,50:6
672,Burnhamthorpe Rd at Dundas St West North Side,43.648998,-79.529096,50:5
674,Burnhamthorpe Rd at The East Mall,43.646462,-79.559669,50:15
675,Burnhamthorpe Rd at Echo Valley Rd West Side,43.650363,-79.54266,50:10
677,Burnhamthorpe Rd at Burnhamthorpe Park Blvd West Side,43.650449,-79.533969,50:7
678,Burnhamthorpe Rd at Kipling Ave West Side,43.651053,-79.539705,50:9
681,Burnhamthorpe Rd at Martin Grove Rd West Side,43.648791,-79.54948,50:12
684,Burnhamthorpe Rd at Mulgrove Dr,43.644287,-79.568748,50:17
685,Burnhamthorpe Rd at Old Burnhamthorpe Rd (East),43.642747,-79.575602,50:19
689,Burnhamthorpe Rd at Silver Shadow Path,43.641831,-79.578843,50:20
690,Burnhamthorpe Rd at Renforth Dr West Side,43.643391,-79.572865,50:18
692,Burnhamthorpe Rd at Royalavon Cres West Side,43.650712,-79.536203,50:8
695,Burnhamthorpe Rd at Shaver Ave North West Side,43.648209,-79.551986,50:13
698,Burnhamthorpe Rd at The West Mall,43.644752,-79.567037,50:16
699,175 Caledonia Rd,43.680022,-79.456679,47:23
701,Caledonia Rd at Bentworth Ave,43.719375,-79.468437,47:40
703,Caledonia Rd at Bowie Ave North Side,43.695175,-79.462803,47:31
706,Caledonia Rd at Bridgeland Ave,43.72337,-79.469508,47:42
708,Caledonia Rd at Cartwright Ave,43.721252,-79.468903,47:41
710,Caledonia Rd at Castlefield Ave,43.698305,-79.463329,47:32
713,Caledonia Rd at Corby Ave,43.684568,-79.458579,47:26
715,Caledonia Rd at Eglinton Ave West,43.692778,-79.462026,47:30
717,Caledonia Rd at Glencairn Ave,43.704493,-79.464646,47:34
719,Caledonia Rd at Glengrove Ave,43.706301,-79.465166,47:35
721,Caledonia Rd at Innes Ave North Side,43.681242,-79.45715,47:24
725,Caledonia Rd at Keith Ave,43.690575,-79.461131,47:29
727,Caledonia Rd at Kitchener Ave,43.688899,-79.460424,47:28
731,Caledonia Rd at Leswyn Rd,43.71565,-79.467473,47:38
733,Caledonia Rd at Norman Ave,43.677577,-79.45562,47:22
735,Caledonia Rd at Orfus Rd,43.717578,-79.467995,47:39
737,Caledonia Rd at Playfair Ave,43.707998,-79.465644,47:36
